symbol,base,excluded_reason,listing_month,listing_detection_note,ever_eligible_in_study_window,stablecoin_excluded_quarters
BTCUSDT,BTC,"BTC 為迴歸 beta 基準本身,非 alt candidate(文件第 1 節排除規則第 1 項)",,,False,0
ETHUSDT,ETH,,2017-08,二分搜尋 + 前 2 個月抽查通過,True,0
BNBUSDT,BNB,,2017-11,二分搜尋 + 前 2 個月抽查通過,True,0
NEOUSDT,NEO,,2017-11,二分搜尋 + 前 2 個月抽查通過,True,0
LTCUSDT,LTC,,2017-12,二分搜尋 + 前 2 個月抽查通過,True,0
QTUMUSDT,QTUM,,2018-03,二分搜尋 + 前 2 個月抽查通過,True,0
ADAUSDT,ADA,,2018-04,二分搜尋 + 前 2 個月抽查通過,True,0
XRPUSDT,XRP,,2018-05,二分搜尋 + 前 2 個月抽查通過,True,0
TUSDUSDT,TUSD,,,,False,0
IOTAUSDT,IOTA,,2018-05,二分搜尋 + 前 2 個月抽查通過,True,0
XLMUSDT,XLM,,2018-05,二分搜尋 + 前 2 個月抽查通過,True,0
ONTUSDT,ONT,,2018-06,二分搜尋 + 前 2 個月抽查通過,True,0
TRXUSDT,TRX,,2018-06,二分搜尋 + 前 2 個月抽查通過,True,0
ETCUSDT,ETC,,2018-06,二分搜尋 + 前 2 個月抽查通過,True,0
ICXUSDT,ICX,,2018-06,二分搜尋 + 前 2 個月抽查通過,True,0
VETUSDT,VET,,2018-07,二分搜尋 + 前 2 個月抽查通過,True,0
USDCUSDT,USDC,,,,False,0
LINKUSDT,LINK,,2019-01,二分搜尋 + 前 2 個月抽查通過,True,0
ONGUSDT,ONG,,2019-02,二分搜尋 + 前 2 個月抽查通過,True,0
HOTUSDT,HOT,,2019-02,二分搜尋 + 前 2 個月抽查通過,True,0
ZILUSDT,ZIL,,2019-02,二分搜尋 + 前 2 個月抽查通過,True,0
ZRXUSDT,ZRX,,2019-02,二分搜尋 + 前 2 個月抽查通過,True,0
FETUSDT,FET,,2019-02,二分搜尋 + 前 2 個月抽查通過,True,0
BATUSDT,BAT,,2019-03,二分搜尋 + 前 2 個月抽查通過,True,0
ZECUSDT,ZEC,,2019-03,二分搜尋 + 前 2 個月抽查通過,True,0
IOSTUSDT,IOST,,2019-03,二分搜尋 + 前 2 個月抽查通過,True,0
CELRUSDT,CELR,,2019-03,二分搜尋 + 前 2 個月抽查通過,True,0
DASHUSDT,DASH,,2019-03,二分搜尋 + 前 2 個月抽查通過,True,0
THETAUSDT,THETA,,2019-04,二分搜尋 + 前 2 個月抽查通過,True,0
ENJUSDT,ENJ,,2019-04,二分搜尋 + 前 2 個月抽查通過,True,0
ATOMUSDT,ATOM,,2019-04,二分搜尋 + 前 2 個月抽查通過,True,0
TFUELUSDT,TFUEL,,2019-05,二分搜尋 + 前 2 個月抽查通過,True,0
ONEUSDT,ONE,,2019-06,二分搜尋 + 前 2 個月抽查通過,True,0
