quarter,rank,symbol,listing_month,days_listed,avg_90d_quote_volume_usdt,volume_days_available
2020-01-01,1,ETHUSDT,2017-08,883,58403388.62385316,90
2020-01-01,2,BNBUSDT,2017-11,791,25707711.764398698,90
2020-01-01,3,XRPUSDT,2018-05,610,24450533.624738466,90
2020-01-01,4,LTCUSDT,2017-12,761,15696295.848080747,90
2020-01-01,5,TRXUSDT,2018-06,579,15650833.401703032,90
2020-01-01,6,LINKUSDT,2019-01,365,13483696.633658107,90
2020-01-01,7,VETUSDT,2018-07,549,7584912.940866021,90
2020-01-01,8,ADAUSDT,2018-04,640,5291895.765757157,90
2020-01-01,9,ETCUSDT,2018-06,579,4589407.8226178,90
2020-01-01,10,ONTUSDT,2018-06,579,4559206.533141512,90
2020-01-01,11,NEOUSDT,2017-11,791,4432843.977514311,90
2020-01-01,12,XLMUSDT,2018-05,610,4413372.3096891,90
2020-01-01,13,ATOMUSDT,2019-04,275,3910475.8221448665,90
2020-01-01,14,FETUSDT,2019-02,334,3459354.7541222214,90
2020-01-01,15,IOSTUSDT,2019-03,306,3307284.825090656,90
2020-01-01,16,QTUMUSDT,2018-03,671,2612755.763196211,90
2020-01-01,17,BATUSDT,2019-03,306,1636042.5450151665,90
2020-01-01,18,ALGOUSDT,2019-06,214,1596106.2455482744,90
2020-01-01,19,ZECUSDT,2019-03,306,1544443.650064173,90
2020-01-01,20,DASHUSDT,2019-03,306,1136913.7030457756,90
2020-01-01,21,IOTAUSDT,2018-05,610,740608.7204361111,90
2020-01-01,22,ONEUSDT,2019-06,214,732369.9297482221,90
2020-01-01,23,ZRXUSDT,2019-02,334,625917.1366467444,90
2020-01-01,24,ENJUSDT,2019-04,275,558359.2508807777,90
2020-01-01,25,HOTUSDT,2019-02,334,529270.6841418578,90
2020-01-01,26,ICXUSDT,2018-06,579,443938.76373133337,90
2020-01-01,27,ZILUSDT,2019-02,334,423833.99159501103,90
2020-01-01,28,DOGEUSDT,2019-07,184,408498.1963796578,90
2020-01-01,29,CELRUSDT,2019-03,306,296273.58698434447,90
2020-01-01,30,DUSKUSDT,2019-07,184,243932.84642868888,90
2020-04-01,1,ETHUSDT,2017-08,974,145859393.5189539,90
2020-04-01,2,BNBUSDT,2017-11,882,49388105.858713746,90
2020-04-01,3,XRPUSDT,2018-05,701,48729880.22844743,90
2020-04-01,4,ETCUSDT,2018-06,670,40901496.7133741,90
2020-04-01,5,LTCUSDT,2017-12,852,40268840.47963064,90
2020-04-01,6,LINKUSDT,2019-01,456,37663462.27171537,90
2020-04-01,7,TRXUSDT,2018-06,670,19801387.910455946,90
2020-04-01,8,XTZUSDT,2019-09,213,17489035.88216761,90
2020-04-01,9,DASHUSDT,2019-03,397,14977772.671990013,90
2020-04-01,10,ADAUSDT,2018-04,731,13896852.633611878,90
2020-04-01,11,ZECUSDT,2019-03,397,8784520.650509087,90
2020-04-01,12,XLMUSDT,2018-05,701,8199529.881948511,90
2020-04-01,13,NEOUSDT,2017-11,882,6914236.225552612,90
2020-04-01,14,VETUSDT,2018-07,640,6332401.82768551,90
2020-04-01,15,ATOMUSDT,2019-04,366,5853109.246103612,90
2020-04-01,16,ONTUSDT,2018-06,670,5095900.201255272,90
2020-04-01,17,ICXUSDT,2018-06,670,4966961.462645444,90
2020-04-01,18,QTUMUSDT,2018-03,762,4147876.420300756,90
2020-04-01,19,HBARUSDT,2019-09,213,4085917.189506667,90
2020-04-01,20,ALGOUSDT,2019-06,305,3454160.2780978163,90
2020-04-01,21,IOSTUSDT,2019-03,397,3146167.400826311,90
2020-04-01,22,IOTAUSDT,2018-05,701,2738684.7863510447,90
2020-04-01,23,BATUSDT,2019-03,397,2490083.1548177996,90
2020-04-01,24,FETUSDT,2019-02,425,1484298.223224151,90
2020-04-01,25,RVNUSDT,2019-09,213,1478706.4230391441,90
2020-04-01,26,WINUSDT,2019-08,244,1461303.5006335133,90
2020-04-01,27,ENJUSDT,2019-04,366,1132967.0765262223,90
2020-04-01,28,CHZUSDT,2019-09,213,978958.0495938667,90
2020-04-01,29,KAVAUSDT,2019-10,183,748505.1838071665,90
2020-04-01,30,ZILUSDT,2019-02,425,661811.0923415112,90
2020-07-01,1,ETHUSDT,2017-08,1065,156748602.86036378,90
2020-07-01,2,BNBUSDT,2017-11,973,44141178.68234013,90
